Time (ps),Hydrogen bonds,Pairs within 0.35 nm
992620,7,4
993620,8,7
994620,11,7
995620,9,8
996620,9,6
997620,11,7
998620,7,8
1e+06,10,13
1.001e+06,5,5
1.002e+06,9,11
1.003e+06,10,9
1.004e+06,8,10
1.005e+06,7,8
1.006e+06,9,16
1.00702e+06,6,12
1.00802e+06,14,8
1.00902e+06,7,10
1.01002e+06,7,11
1.01102e+06,7,7
1.01202e+06,7,12
1.01302e+06,8,17
1.01412e+06,6,13
1.01512e+06,7,10
1.01612e+06,5,5
1.01712e+06,8,15
1.01812e+06,8,13
1.01912e+06,7,7
1.02012e+06,9,7
1.02112e+06,10,5
1.02212e+06,10,7
1.02281e+06,7,9
1.02381e+06,9,7
1.02481e+06,8,6
1.02581e+06,8,7
1.02681e+06,10,7
1.02781e+06,10,9
1.02881e+06,12,13
1.02981e+06,10,11
