Time (ps),fter lsq fit to Backbone
0.0000000,0.0005143
1.0000000,0.1705742
2.0000000,0.1635504
3.0000002,0.1921718
4.0000000,0.2116125
5.0000000,0.1924683
6.0000005,0.2025050
7.0000005,0.1999261
8.0000000,0.2189624
8.9400005,0.2385302
9.9400005,0.2879741
10.9400005,0.2901399
11.9400005,0.3150657
12.9400005,0.2784700
13.9400005,0.2962320
14.9400005,0.3106956
15.9400005,0.3126394
16.9400005,0.2993017
17.6100006,0.2985132
18.6100006,0.3149197
19.6100006,0.3113436
20.6100006,0.3101578
21.6100006,0.3021532
22.6100006,0.2957626
23.6100006,0.3197598
24.6100006,0.3100696
25.6100006,0.3101734
26.2900009,0.3081033
27.2900009,0.2916032
28.2900009,0.2967771
29.2900009,0.3013603
30.2900009,0.3057753
31.2900009,0.3129831
32.2900009,0.2946782
33.2900009,0.2992654
34.2900009,0.3023609
34.8600006,0.3032912
35.8600006,0.3096779
36.8600006,0.3333460
37.8600006,0.3335764
38.8600006,0.3261408
39.8600006,0.3152779
40.8600006,0.3032375
41.8600006,0.3059136
43.3000031,0.3158579
44.3000031,0.3284034
45.3000031,0.3488901
46.3000031,0.3573356
47.3000031,0.3385963
48.3000031,0.3310239
49.3000031,0.3077483
50.3000031,0.2990682
51.3000031,0.2847139
52.3000031,0.2971026
53.3000031,0.2983328
54.3000031,0.3405806
55.3000031,0.3061717
56.3000031,0.3165871
57.3000031,0.3001808
58.3000031,0.2871664
59.7900047,0.3080189
60.7900047,0.3274803
61.7900047,0.3159455
62.7900047,0.3124934
63.7900047,0.3079716
64.7900009,0.3070293
65.7900009,0.3396803
66.7900009,0.3228378
67.7900009,0.3421501
68.8000031,0.3490349
69.8000031,0.3473884
70.8000031,0.3248049
71.8000031,0.3569856
72.8000031,0.3159489
73.8000031,0.3558200
74.8000031,0.3187464
75.8000031,0.3572839
77.2400055,0.3179049
78.2400055,0.3144080
79.2400055,0.2964243
80.2400055,0.3205755
81.2400055,0.3398336
82.2400055,0.3220607
83.2400055,0.3340564
84.2400055,0.3318048
85.2400055,0.3135833
85.8300018,0.3172504
86.8300018,0.3231723
87.8300018,0.3317834
88.8300018,0.3274210
89.8300018,0.3351467
90.8300018,0.3573878
91.8300018,0.3919829
92.8300018,0.3880427
93.9000015,0.3640307
94.9000015,0.3310639
95.9000015,0.3169254
96.9000015,0.3461143
97.9000015,0.3419289
98.9000015,0.3465944
99.9000015,0.3328029
100.9000015,0.3430475
101.9000015,0.3722212
102.8900070,0.3471898
103.8900070,0.3382435
104.8900070,0.3402218
105.8900070,0.3351150
106.8900070,0.3169668
107.8900070,0.3600467
108.8900070,0.3303503
109.8900070,0.3459034
111.3500061,0.3680543
112.3500061,0.3558803
113.3500061,0.3501739
114.3500061,0.3440437
115.3500061,0.3282642
116.3500061,0.3505797
117.3500061,0.3241143
118.7900085,0.3572396
119.7900085,0.3433043
120.7900085,0.3357927
121.7900085,0.3631262
122.7900085,0.3274240
123.7900085,0.3549984
124.7900085,0.3260975
125.7900085,0.3295002
126.9800034,0.3202274
127.9800034,0.3302696
128.9800110,0.3223601
129.9800110,0.3187510
130.9800110,0.3290323
131.9800110,0.3313139
132.9800110,0.3224289
133.9800110,0.3314669
134.9800110,0.3430693
135.5000000,0.3323554
136.5000000,0.3514166
137.5000000,0.3203554
138.5000000,0.3403971
139.5000000,0.3520835
140.5000000,0.3361565
141.5000000,0.3283838
142.5000000,0.3268654
143.5000000,0.3563569
144.1000061,0.3416205
145.1000061,0.3391499
146.1000061,0.3536314
147.1000061,0.3559300
148.1000061,0.3569529
149.1000061,0.3600503
150.1000061,0.3497549
151.1000061,0.3544214
152.1000061,0.3678069
152.6100006,0.3685988
153.6100006,0.3508988
154.6100006,0.3500579
155.6100006,0.3532605
156.6100006,0.3646778
157.6100006,0.3393381
158.6100006,0.3570994
159.6100006,0.3604288
160.6100006,0.3717445
161.2200012,0.3748348
162.2200012,0.3524335
163.2200012,0.3266144
164.2200012,0.3490281
165.2200012,0.3745094
166.2200012,0.3757128
167.2200012,0.3705561
168.2200012,0.3643081
169.6500092,0.3718497
170.6500092,0.3815936
171.6500092,0.3767812
172.6500092,0.3842475
173.6500092,0.3662898
174.6500092,0.3809999
175.6500092,0.3783231
176.6500092,0.3838978
177.6500092,0.3714710
178.2000122,0.3840239
179.2000122,0.3755895
180.2000122,0.3931837
181.2000122,0.3771235
182.2000122,0.3924984
183.2000122,0.3775826
184.2000122,0.3931113
185.2000122,0.3773287
186.2000122,0.3892636
186.8400116,0.3672933
187.8400116,0.3819107
188.8400116,0.3618432
189.8400116,0.3609087
